Generation,Animal count,Bush count,Average energy,Average life span for dead animals,Average number of children per animal
161,11,63,68.81818181818181,96.5,0.9090909090909091
162,11,64,67.9090909090909,96.5,0.9090909090909091
163,11,64,68.72727272727273,96.5,0.9090909090909091
164,11,65,68.63636363636364,96.5,0.9090909090909091
165,11,66,68.54545454545455,96.5,0.9090909090909091
166,11,68,67.63636363636364,96.5,0.9090909090909091
167,11,70,66.63636363636364,96.5,0.9090909090909091
168,11,70,66.63636363636364,96.5,0.9090909090909091
169,11,70,66.54545454545455,96.5,0.7272727272727273
170,11,72,65.63636363636364,96.5,0.7272727272727273
171,11,73,64.72727272727273,96.5,0.7272727272727273
172,11,74,63.81818181818182,96.5,0.7272727272727273
173,12,75,57.583333333333336,96.5,0.8333333333333334
174,12,75,57.416666666666664,96.5,0.8333333333333334
175,12,72,60.583333333333336,96.5,0.8333333333333334
176,12,71,62.166666666666664,96.5,0.8333333333333334
177,12,70,62.833333333333336,96.5,0.8333333333333334
178,12,71,62.75,96.5,0.8333333333333334
179,12,70,64.33333333333333,96.5,0.8333333333333334
180,12,69,65.08333333333333,96.5,0.8333333333333334
181,12,68,66.58333333333333,96.5,0.8333333333333334
182,12,68,66.5,96.5,0.8333333333333334
183,13,69,60.53846153846154,96.5,0.9230769230769231
184,13,69,60.38461538461539,96.5,0.9230769230769231
185,13,69,60.15384615384615,96.5,0.9230769230769231
186,13,68,60.69230769230769,96.5,0.9230769230769231
187,13,66,62.07692307692308,96.5,0.9230769230769231
188,14,67,56.714285714285715,96.5,1.0
189,15,66,53.53333333333333,96.5,1.0666666666666667
190,15,67,52.6,96.5,1.0666666666666667
191,16,66,50.3125,96.5,1.125
192,16,67,50.0625,96.5,1.125
193,16,66,50.3125,96.5,1.125
194,16,65,50.5625,96.5,1.125
195,16,63,51.4375,96.5,1.125
196,16,62,51.6875,96.5,1.125
197,16,62,51.3125,96.5,1.125
198,16,58,53.5,96.5,1.125
199,16,59,53.125,96.5,1.125
200,16,58,54.0,96.5,1.125
201,16,58,54.3125,96.5,1.125
202,16,57,54.5625,96.5,1.125
203,16,56,54.875,96.5,1.125
204,16,55,55.75,96.5,1.125
205,16,54,56.0,96.5,1.125
206,16,50,58.8125,96.5,1.125
207,16,50,58.4375,96.5,1.125
208,16,50,58.0625,96.5,1.125
209,16,50,57.6875,96.5,1.125
210,16,52,56.6875,96.5,1.125
211,16,52,56.3125,96.5,1.125
212,16,52,56.5625,96.5,1.125
213,16,52,56.8125,96.5,1.125
214,16,51,57.1875,96.5,1.125
215,16,51,56.875,96.5,1.125
216,16,52,55.875,96.5,1.125
217,16,52,55.5,96.5,1.125
218,16,51,55.75,96.5,1.125
219,16,50,56.0,96.5,1.125
220,16,49,56.875,96.5,1.125
221,16,49,57.25,96.5,1.125
222,16,49,56.9375,96.5,1.125
223,16,49,57.1875,96.5,1.125
224,16,49,57.4375,96.5,1.125
225,16,49,57.6875,96.5,1.125
226,16,48,58.0,96.5,1.125
227,15,48,62.2,139.33333333333334,1.0666666666666667
228,15,46,63.86666666666667,139.33333333333334,1.0666666666666667
229,15,45,64.26666666666667,139.33333333333334,1.0666666666666667
230,15,46,63.266666666666666,139.33333333333334,1.0666666666666667
231,15,46,62.93333333333333,139.33333333333334,1.0666666666666667
232,15,44,63.93333333333333,139.33333333333334,1.0666666666666667
233,15,43,64.33333333333333,139.33333333333334,1.0666666666666667
234,15,44,63.4,139.33333333333334,1.0666666666666667
235,15,45,63.13333333333333,139.33333333333334,1.0666666666666667
236,15,44,63.53333333333333,139.33333333333334,1.0666666666666667
237,15,45,63.2,139.33333333333334,1.0666666666666667
238,15,45,62.93333333333333,139.33333333333334,1.0666666666666667
239,15,45,63.4,139.33333333333334,1.0666666666666667
240,15,45,63.93333333333333,139.33333333333334,1.0666666666666667
241,15,47,63.06666666666667,139.33333333333334,1.0666666666666667
242,15,46,63.4,139.33333333333334,1.0666666666666667
243,15,47,62.46666666666667,139.33333333333334,1.0666666666666667
244,15,48,62.13333333333333,139.33333333333334,1.0666666666666667
245,15,49,61.13333333333333,139.33333333333334,1.0666666666666667
246,15,50,60.93333333333333,139.33333333333334,1.0666666666666667
247,15,50,60.733333333333334,139.33333333333334,1.0666666666666667
248,15,46,63.06666666666667,139.33333333333334,1.0666666666666667
249,15,46,63.46666666666667,139.33333333333334,1.0666666666666667
250,15,47,62.53333333333333,139.33333333333334,1.0666666666666667
251,15,48,61.6,139.33333333333334,1.0666666666666667
252,15,47,61.93333333333333,139.33333333333334,1.0666666666666667
253,15,48,60.93333333333333,139.33333333333334,1.0666666666666667
254,15,48,60.666666666666664,139.33333333333334,1.0666666666666667
255,15,48,60.333333333333336,139.33333333333334,1.0666666666666667
256,15,48,60.2,139.33333333333334,1.0666666666666667
257,15,47,61.2,139.33333333333334,1.0666666666666667
258,15,48,60.2,139.33333333333334,1.0666666666666667
259,15,45,61.93333333333333,139.33333333333334,1.0666666666666667
260,15,45,62.266666666666666,139.33333333333334,1.0666666666666667
261,15,45,61.93333333333333,139.33333333333334,1.0666666666666667
262,15,45,61.6,139.33333333333334,1.0666666666666667
263,15,46,61.333333333333336,139.33333333333334,1.0666666666666667
264,15,47,60.46666666666667,139.33333333333334,1.0666666666666667
265,15,48,59.46666666666667,139.33333333333334,1.0666666666666667
266,15,47,59.86666666666667,139.33333333333334,1.0666666666666667
267,15,48,58.93333333333333,139.33333333333334,1.0666666666666667
268,15,49,58.733333333333334,139.33333333333334,1.0666666666666667
269,15,49,59.13333333333333,139.33333333333334,1.0666666666666667
270,15,48,59.53333333333333,139.33333333333334,1.0666666666666667
271,15,49,58.6,139.33333333333334,1.0666666666666667
272,14,50,61.857142857142854,170.25,1.0714285714285714
273,14,50,61.642857142857146,170.25,1.0714285714285714
274,14,51,61.357142857142854,170.25,1.0714285714285714
275,14,49,62.57142857142857,170.25,1.0714285714285714
276,14,49,62.285714285714285,170.25,1.0714285714285714
277,14,49,62.785714285714285,170.25,1.0714285714285714
278,14,49,62.714285714285715,170.25,1.0714285714285714
279,14,50,61.785714285714285,170.25,1.0714285714285714
280,14,51,60.857142857142854,170.25,1.0714285714285714
281,14,51,60.642857142857146,170.25,1.0714285714285714
282,14,52,59.714285714285715,170.25,1.0714285714285714
283,14,53,58.785714285714285,170.25,1.0714285714285714
284,13,54,63.15384615384615,191.8,1.0769230769230769
285,13,54,63.0,191.8,1.0769230769230769
286,13,54,62.76923076923077,191.8,1.0769230769230769
287,13,54,62.53846153846154,191.8,1.0769230769230769
288,13,54,62.30769230769231,191.8,1.0769230769230769
289,13,55,62.15384615384615,191.8,1.0769230769230769
290,13,55,61.92307692307692,191.8,1.0769230769230769
291,13,54,62.53846153846154,191.8,1.0769230769230769
292,13,55,62.30769230769231,191.8,1.0769230769230769
293,13,54,62.84615384615385,191.8,1.0769230769230769
294,13,53,64.3076923076923,191.8,1.0769230769230769
295,13,52,65.84615384615384,191.8,1.0769230769230769
296,13,52,65.76923076923077,191.8,1.0769230769230769
297,13,53,65.6923076923077,191.8,1.0769230769230769
298,13,54,64.6923076923077,191.8,1.0769230769230769
299,13,55,63.69230769230769,191.8,1.0769230769230769
300,13,54,65.0,191.8,1.0769230769230769
301,12,51,73.66666666666667,178.5,1.1666666666666667
302,12,49,76.0,178.5,1.1666666666666667
303,12,49,76.66666666666667,178.5,1.1666666666666667
304,12,50,75.66666666666667,178.5,1.1666666666666667
305,12,50,75.5,178.5,1.1666666666666667
306,12,50,75.5,178.5,1.1666666666666667
307,12,51,75.41666666666667,178.5,1.1666666666666667
308,12,51,76.08333333333333,178.5,1.1666666666666667
309,12,51,75.91666666666667,178.5,1.1666666666666667
310,13,51,69.92307692307692,178.5,1.2307692307692308
311,14,51,64.71428571428571,178.5,1.2857142857142858
312,15,50,60.8,178.5,1.3333333333333333
313,15,49,61.93333333333333,178.5,1.3333333333333333
314,15,50,61.666666666666664,178.5,1.3333333333333333
315,15,50,62.2,178.5,1.3333333333333333
316,15,50,62.666666666666664,178.5,1.3333333333333333
317,15,51,62.4,178.5,1.3333333333333333
318,15,51,62.13333333333333,178.5,1.3333333333333333
319,15,50,63.2,178.5,1.3333333333333333
320,15,48,64.93333333333334,178.5,1.3333333333333333
321,15,48,64.73333333333333,178.5,1.3333333333333333
322,15,49,64.46666666666667,178.5,1.3333333333333333
323,15,49,64.26666666666667,178.5,1.3333333333333333
324,15,49,64.6,178.5,1.3333333333333333
325,15,49,64.93333333333334,178.5,1.3333333333333333
326,15,48,65.93333333333334,178.5,1.3333333333333333
327,15,50,64.93333333333334,178.5,1.3333333333333333
328,16,49,61.375,178.5,1.375
329,17,47,58.705882352941174,178.5,1.411764705882353
330,17,48,57.705882352941174,178.5,1.411764705882353
331,17,49,56.8235294117647,178.5,1.411764705882353
332,17,51,55.88235294117647,178.5,1.411764705882353
333,17,48,57.94117647058823,178.5,1.411764705882353
334,17,47,58.11764705882353,178.5,1.411764705882353
335,17,47,57.8235294117647,178.5,1.411764705882353
336,18,45,55.94444444444444,178.5,1.4444444444444444
337,18,47,55.0,178.5,1.4444444444444444
338,18,46,55.111111111111114,178.5,1.4444444444444444
339,18,44,56.333333333333336,178.5,1.4444444444444444
340,18,46,55.333333333333336,178.5,1.4444444444444444
341,18,44,56.0,178.5,1.4444444444444444
342,18,43,56.22222222222222,178.5,1.4444444444444444
343,20,43,50.75,178.5,1.5
344,21,43,48.333333333333336,178.5,1.5238095238095237
345,22,43,46.18181818181818,178.5,1.5454545454545454
346,23,44,43.73913043478261,178.5,1.565217391304348
347,23,45,43.17391304347826,178.5,1.565217391304348
348,23,45,43.08695652173913,178.5,1.565217391304348
349,23,44,43.391304347826086,178.5,1.565217391304348
350,23,44,43.30434782608695,178.5,1.565217391304348
351,23,44,43.26086956521739,178.5,1.565217391304348
352,23,41,44.0,178.5,1.565217391304348
353,23,40,44.30434782608695,178.5,1.565217391304348
354,23,39,44.608695652173914,178.5,1.565217391304348
355,23,39,44.08695652173913,203.28571428571428,1.5217391304347827
356,23,38,44.130434782608695,203.28571428571428,1.5217391304347827
357,24,37,42.291666666666664,203.28571428571428,1.5416666666666667
358,24,36,42.25,203.28571428571428,1.5416666666666667
359,24,36,42.166666666666664,203.28571428571428,1.5416666666666667
360,24,36,42.0,203.28571428571428,1.5416666666666667
361,24,35,42.291666666666664,203.28571428571428,1.5416666666666667
362,24,37,41.375,203.28571428571428,1.5416666666666667
363,24,39,40.416666666666664,203.28571428571428,1.5416666666666667
364,24,40,39.916666666666664,203.28571428571428,1.5416666666666667
365,24,39,40.25,203.28571428571428,1.5416666666666667
366,24,40,39.791666666666664,203.28571428571428,1.5416666666666667
367,24,41,39.25,203.28571428571428,1.5416666666666667
368,24,41,39.166666666666664,203.28571428571428,1.5416666666666667
369,24,42,38.208333333333336,203.28571428571428,1.5416666666666667
370,24,39,39.375,203.28571428571428,1.5416666666666667
371,24,40,38.791666666666664,203.28571428571428,1.5416666666666667
372,24,38,39.458333333333336,203.28571428571428,1.5416666666666667
373,24,36,39.75,203.28571428571428,1.5416666666666667
374,24,34,40.041666666666664,203.28571428571428,1.5416666666666667
375,24,35,39.5,203.28571428571428,1.5416666666666667
376,23,32,42.0,201.375,1.608695652173913
